"sp","hge","aSize"
"Amaioua corymbosa",6.43942436866396,17.015
"Amaioua guianensis",22.977123709309,13
"Amphirrhox longifolia",7.87388510176,13.225
"Amphirrhox longifolia",9.82180538231007,13.225
"Amphirrhox longifolia",10.8684278810441,13.225
"Amphirrhox longifolia",14.9204400416699,13.225
"Amphirrhox longifolia",8.36826042730911,13.225
"Amphirrhox longifolia",14.0258179965436,13.225
"Amphirrhox longifolia",11.0523098580238,13.225
"Anacardium parvifolium",33.9545964223654,30.625
"Anacardium parvifolium",5.24846579468255,30.625
"Anacardium parvifolium",2.56663905547154,30.625
"Anacardium parvifolium",2.78318171916422,30.625
"Anacardium parvifolium",7.50375528814268,30.625
"Aniba riparia",13.175843302396,15.7
"Anisophyllea manausensis",16.7265805068404,21.175
"Aspidosperma carapanauba",16.8615271244619,33.675
"Astronium lecointei",14.3355663329096,24
"Brosimum rubescens",16.4988812348536,26.15
"Buchenavia grandis",3.90676668734298,35.5
"Buchenavia grandis",14.4860374787545,35.5
"Casearia javitensis",10.3329361285682,18.75
"Casearia javitensis",22.7428642532377,18.75
"Casearia javitensis",20.0006320493596,18.75
"Casearia javitensis",5.63717062572895,18.75
"Casearia javitensis",8.2138954444968,18.75
"Casearia javitensis",29.6656981553006,18.75
"Chrysophyllum lucentifolium",15.8078671525373,26.175
"Chrysophyllum lucentifolium",12.5433274190581,26.175
"Compsoneura ulei",11.0235606041939,7.2625
"Coussarea ampla",9.60918491139316,12.9
"Coussarea ampla",24.8233613109733,12.9
"Duckeodendron cestroides",8.26073177445667,30
"Duckeodendron cestroides",7.89658377458942,30
"Duguetia asterotricha",12.1734817967324,6.5
"Duguetia asterotricha",12.4056508939449,6.5
"Duguetia asterotricha",14.5851661114278,6.5
"Duguetia asterotricha",8.64172636389233,6.5
"Duguetia asterotricha",34.2777172435167,6.5
"Duguetia asterotricha",17.2140332927693,6.5
"Duguetia flagellaris",12.2013630270278,11
"Duguetia flagellaris",7.08746033903124,11
"Duguetia flagellaris",7.78098617394332,11
"Duguetia flagellaris",21.0701382997389,11
"Duguetia flagellaris",13.601576467381,11
"Duguetia flagellaris",3.10670288968912,11
"Duguetia flagellaris",12.887485577211,11
"Duguetia flagellaris",6.67395430654809,11
"Duguetia flagellaris",5.99936892492303,11
"Duroia macrophylla",21.5002137968357,14
"Ecclinusa guianensis",61.1957685247816,25
"Eperua glabriflora",9.95438288602641,23
"Erisma bicolor",17.4271029192006,27.025
"Erisma bicolor",2.39590432599075,27.025
"Erisma bicolor",12.6668384252243,27.025
"Erisma bicolor",9.73429363230408,27.025
"Erisma bicolor",17.0226107296154,27.025
"Erisma fuscum",11.6364639967035,28.6
"Erythroxylum macrophyllum",12.6136529830744,11.7
"Eschweilera coriacea",11.2059992198257,22
"Eschweilera coriacea",9.88615340359573,22
"Eschweilera coriacea",23.8392773259512,22
"Eschweilera coriacea",5.42083328091753,22
"Eschweilera coriacea",9.7661322300278,22
"Eschweilera coriacea",6.37584863995308,22
"Eschweilera grandiflora",11.4783327549114,18.2
"Eschweilera grandiflora",7.21575030314544,18.2
"Eschweilera grandiflora",12.390294161993,18.2
"Eschweilera grandiflora",20.1321222357782,18.2
"Eschweilera grandiflora",6.13026447117096,18.2
"Eschweilera grandiflora",13.8997037690443,18.2
"Eschweilera pedicellata",8.31221004433435,16
"Eschweilera pedicellata",4.01207224134394,16
"Eschweilera pedicellata",5.6462739298063,16
"Eschweilera pseudodecolorans",5.34561636319594,28.025
"Eschweilera romeu-cardosoi",15.6965026291891,19
"Eschweilera romeu-cardosoi",7.89289699198792,19
"Eschweilera romeu-cardosoi",7.54681602686349,19
"Eschweilera romeu-cardosoi",9.65428416780267,19
"Eschweilera romeu-cardosoi",9.930167304613,19
"Eschweilera romeu-cardosoi",3.83168374877147,19
"Eschweilera romeu-cardosoi",5.429321174459,19
"Eschweilera truncata",7.61148966781096,21
"Eschweilera truncata",5.09336694322254,21
"Eschweilera truncata",8.35003057907478,21
"Eschweilera truncata",14.2190030029204,21
"Eschweilera truncata",6.16543883487781,21
"Eschweilera truncata",5.08412736858751,21
"Eschweilera wachenheimii",6.74924339972411,20
"Eschweilera wachenheimii",3.31321244468386,20
"Eschweilera wachenheimii",12.1181437636861,20
"Eschweilera wachenheimii",14.3008503799887,20
"Eschweilera wachenheimii",7.54519475704356,20
"Eschweilera wachenheimii",3.83058101801305,20
"Eugenia cupulata",12.7966291155547,12.875
"Geissospermum argenteum",15.5486064160949,27.05
"Goupia glabra",15.2135172207106,31
"Guarea carinata",21.0642793302775,16.8
"Guatteria olivacea",12.6132320531845,18.075
"Guatteria olivacea",22.5210188457939,18.075
"Gustavia elliptica",7.02203558772051,16
"Gustavia elliptica",18.6443299832019,16
"Gustavia elliptica",10.1231792705484,16
"Gustavia elliptica",13.949369045887,16
"Gustavia elliptica",7.08257644633585,16
"Gustavia elliptica",22.0521329720225,16
"Henriettella caudata",6.4155233590789,6.4
"Henriettella caudata",9.96943461680354,6.4
"Henriettella caudata",12.0114417339902,6.4
"Henriettella caudata",9.1074941523716,6.4
"Henriettella caudata",12.9814000086073,6.4
"Henriettella caudata",6.99953328508453,6.4
"Hevea guianensis",21.9330932095983,20.6
"Hevea guianensis",3.70081613536315,20.6
"Hevea guianensis",10.6741701262072,20.6
"Hevea guianensis",4.89143789856113,20.6
"Hevea guianensis",33.5651694391529,20.6
"Hevea guianensis",29.9442652213207,20.6
"Hevea guianensis",33.6915222767517,20.6
"Hirtella myrmecophila",16.0658912897642,6.4925
"Hirtella myrmecophila",10.3910531580837,6.4925
"Hirtella myrmecophila",8.64499564701952,6.4925
"Hirtella myrmecophila",9.33944716804099,6.4925
"Hirtella myrmecophila",11.5628080121197,6.4925
"Hirtella myrmecophila",7.14794465187734,6.4925
"Inga umbratica",7.20138002964623,14
"Lecythis barnebyi",14.8415107338708,17.575
"Lecythis prancei",6.48820105638333,25.875
"Lecythis prancei",11.3925407393178,25.875
"Lecythis prancei",11.5685467693615,25.875
"Lecythis prancei",16.3267694016149,25.875
"Licania heteromorpha",14.0347175766445,23
"Licania heteromorpha",16.8206275805034,23
"Licania heteromorpha",29.1508392808962,23
"Licania heteromorpha",23.1714755341106,23
"Licania heteromorpha",6.81863130683838,23
"Licania heteromorpha",22.0988205469482,23
"Licania octandra",7.76003321887229,18.275
"Licaria cannella",10.8964680615269,21.95
"Mabea speciosa",9.6096736533366,14
"Mabea speciosa",17.3000644178458,14
"Manilkara cavalcantei",4.49439830077978,28.4
"Manilkara huberi",4.30822849597439,32
"Manilkara huberi",5.27539656887825,32
"Manilkara huberi",10.6297302780771,32
"Manilkara huberi",4.9338775562727,32
"Mezilaurus duckei",11.9588258340549,25
"Mezilaurus duckei",17.1824248201276,25
"Mezilaurus duckei",7.755754657803,25
"Micrandropsis scleroxylon",13.371831622485,21
"Micrandropsis scleroxylon",9.93487530735285,21
"Micrandropsis scleroxylon",23.6407979042597,21
"Micrandropsis scleroxylon",11.0966722039101,21
"Micrandropsis scleroxylon",29.3778087051782,21
"Micrandropsis scleroxylon",14.4144492272104,21
"Micropholis guyanensis",10.7178432570736,21.625
"Micropholis guyanensis",10.3844699243247,21.625
"Minquartia guianensis",7.37045622478072,25.625
"Minquartia guianensis",17.9235875040199,25.625
"Minquartia guianensis",8.58783561053715,25.625
"Minquartia guianensis",28.1531337861973,25.625
"Minquartia guianensis",16.0619327548496,25.625
"Minquartia guianensis",7.91780085801597,25.625
"Myrcia grandis",7.60217348060159,22
"Naucleopsis caloneura",10.0138736362738,14
"Naucleopsis caloneura",10.615902092757,14
"Naucleopsis caloneura",12.2919518543322,14
"Naucleopsis caloneura",4.40092875203366,14
"Naucleopsis caloneura",8.71597172068718,14
"Naucleopsis caloneura",8.14239981441479,14
"Ocotea canaliculata",11.7399653838485,32
"Ocotea canaliculata",2.96357782978026,32
"Ouratea coccinea",17.1172335227789,11.755
"Ouratea coccinea",5.07095232936304,11.755
"Ouratea coccinea",2.96233715154893,11.755
"Ouratea discophora",7.76087679883457,15.6
"Ouratea discophora",10.7769160730799,15.6
"Ouratea discophora",39.2806547942838,15.6
"Ouratea discophora",16.2982505748137,15.6
"Ouratea discophora",4.69276994129284,15.6
"Ouratea discophora",12.5944628049008,15.6
"Paramachaerium ormosoides",19.653288981646,17.155
"Paramachaerium ormosoides",17.3499493707277,17.155
"Pausandra macropetala",54.7583138342035,13
"Pausandra macropetala",30.2707710423719,13
"Pausandra macropetala",20.509955631625,13
"Pausandra macropetala",22.8311264325203,13
"Pausandra macropetala",23.1200944224162,13
"Pausandra macropetala",25.9036855670727,13
"Pourouma tomentosa",12.9350431528327,20.2
"Pouteria campanulata",21.1737086351367,17
"Pouteria hispida",20.1610854211327,27
"Pouteria resinosa",12.8724531672964,27.1
"Pouteria resinosa",22.5872632359279,27.1
"Pouteria resinosa",5.25863894606191,27.1
"Pouteria resinosa",39.9168770722727,27.1
"Pouteria resinosa",13.4423691572541,27.1
"Pouteria resinosa",4.6282630540633,27.1
"Pouteria reticulata",10.8665491694441,21
"Pouteria reticulata",8.67310055488196,21
"Pouteria reticulata",12.7489569343609,21
"Pouteria reticulata",15.4915712448984,21
"Pouteria reticulata",7.53036085074408,21
"Pouteria reticulata",18.473410642241,21
"Protium decandrum",22.451399728039,18
"Protium decandrum",5.9394422829712,18
"Protium decandrum",10.9294971440055,18
"Protium decandrum",10.4357937248485,18
"Protium decandrum",51.7522403768144,18
"Protium decandrum",37.1282163880329,18
"Protium decandrum",34.2002627222011,18
"Protium hebetatum",16.5511453986913,17
"Protium hebetatum",8.6794766236116,17
"Protium hebetatum",7.01725715625465,17
