trip,date,plot,plantID,code,genus,epithet,page,cii,lblade,phylotax,phylotax2,growth,btype,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,nl,np,lhm,ldm,rhs,rhf,phm,pdm,tl,td,tv,ttype,thm,tdm,il1,il2,il3,il4,il5,tl1,tl2,tl3,tl4,tl5,canopy,sf,obs,count.,check.ID.,dbh0
1,19-07-2016,220X140,71575,TAPGUI,Tapura,guianensis,NA,NA,simple,alternate,distic,cont,horizontal,2830,10,1556,-10,2374,-52,115,126,38,-47,156,88,5,5,802,273,1300,2018,28,9,81,506,177,branch,195,85,1.7295,1.8015,2.2333,1.8878,2.3628,0.93785,1.0818,0.98103,1.1681,1.456,closed,no,,yes,,13
1,19-07-2016,220X140,71571,SIPCUS,Siparuna,cuspidata,NA,NA,simple,opposite,distic,cont,arched,1707,10,1215,-10,1301,-15,160,164,103,0,145,122,5,5,239,76,1300,1925,8,3,104,529,204,branch,239,111,3.4856,3.6439,3.0681,2.9818,2.8234,2.3628,1.7007,2.1613,2.4204,2.7803,lateral gaps,no,Pseudo-distica: torcao dos entrenos e peciolos,yes,,11
1,19-07-2016,220X140,71742,RINMAC,Rinorea,macrocarpa,NA,NA,simple,alternate,distic,cont,horizontal,2139,10,1714,-10,1346,89,204,234,155,86,192,131,5,5,632,208,1300,1935,26,8,98,387,122,branch,141,68,1.6575,1.4992,2.0318,1.4416,1.8734,1.4272,1.2977,1.6575,1.5712,1.2257,closed,no,,yes,,17
1,19-07-2016,220X140,71524,AMPLON,Amphirrhox,longifolia,NA,NA,simple,alternate,spiral,rhitmic,vertical,2146,10,1306,-10,1439,-9,133,147,66,10,157,112,5,5,864,347,1300,1912,38,12,124,466,220,branch,249,115,1.4848,2.1325,1.9166,1.9598,1.4704,0.99542,1.3265,1.4992,1.5136,0.72194,closed,no,"Ramos inclinados cerca de 60 graus; planta com liana enrolada, mas com poucas folhas",yes,,15
1,19-07-2016,220X140,71685,BRORUB,Brosimum,rubescens,NA,NA,simple,alternate,distic,cont,horizontal,1691,10,1279,-10,1579,-35,159,169,111,-33,173,138,5,5,395,185,1300,1959,15,5,108,407,161,branch,175,91,1.6431,1.4272,1.7295,1.7439,1.7583,0.95224,0.96664,1.1106,1.8015,1.2545,closed,no,"Planta estava sem placa, mas no lugar certo e se parece com Brosimum; um peciolo se perdeu (no saco de achados e perdidos saida 1); no logger salvei essa medida como se a planta fosse 71734 em vez de 71685",yes,,13
1,19-07-2016,220X140,71531,PROOPA,Protium,opacum,NA,NA,odd-pinnate,alternate,spiral,cont,horizontal,2418,10,1554,-10,1839,-55,103,118,80,-53,120,86,1,1,531,263,1300,1940,123,52,114,388,131,branch,136,53,1.9454,1.9598,2.4924,2.1325,1.6288,1.2977,1.4416,1.0098,1.3121,1.1394,closed,no,Quebrou e rebrotou a 2.04 m; pulvinolos e base dos peciolos engrossada; 1 folha amostrada com 5 foliolos,yes,,16
1,19-07-2016,220X140,71663,DUGFLA,Duguetia,flagellaris,NA,NA,simple,alternate,distic,cont,horizontal,1746,90,1464,-10,1487,8,144,161,63,11,118,112,5,5,306,140,1300,2004,12,5,84,421,138,branch,150,62,2.5787,2.809,2.5787,2.3916,2.8234,1.053,1.5136,1.2833,1.2113,0.92345,closed,no,,yes,,11
1,19-07-2016,160X200,41137,LICOCT,Licania,octandra,NA,NA,simple,alternate,both,cont,horizontal,2003,20,1534,-10,1516,-48,219,244,119,-60,150,106,5,5,436,214,1300,1850,9,3,110,557,300,branch,367,200,4.8153,5.4054,5.7941,5.1319,5.3047,2.9729,2.4979,2.5267,2.6706,2.757,closed,no,Varias folhas no caule pincipal,yes,,13
1,19-07-2016,160X200,41110,POURET,Pouteria,reticulata,NA,NA,simple,alternate,distic,cont,vertical,2211,10,1735,-10,1687,44,195,228,173,72,168,125,5,5,625,316,1300,1830,27,11,103,394,116,branch,140,74,3.8653,3.5198,3.2032,3.0592,4.1676,2.3683,2.3827,2.5267,2.7282,2.1524,lateral gaps,no,Com pequena liana enrolada,yes,,15
1,19-07-2016,160X200,41122,OURDIS,Ouratea,discophora,NA,NA,simple,alternate,distic,cont,horizontal,2448,10,1642,-10,803,183,217,227,201,177,139,84,5,5,873,453,1300,1950,32,14,106,456,163,branch,201,124,5.4054,5.1319,5.2615,4.6713,6.0388,3.563,4.4698,3.2751,3.563,4.1388,closed,no,"com liana enrolada, mas abaixo da copa; planta com flor",yes,,16
