Family,Genus,epithet,q975,q975F,finalType
Rubiaceae,Psychotria,pacimonica,4.775,NA,understory?
Myristicaceae,Compsoneura,ulei,7.2625,NA,understory?
Melastomataceae,Miconia,argyrophylla,9.54249999999999,NA,understory?
Sapindaceae,Cupania,hispida,7.06,NA,understory?
Fabaceae,Inga,stipularis,9.5,12.925,understory?
Nyctaginaceae,Neea,ovalifolia,10.24,NA,understory?
Boraginaceae,Cordia,nodosa,9.1375,NA,understory?
Myrtaceae,Myrcia,paivae,8.2075,13.55,understory?
Melastomataceae,Miconia,tomentosa,9.805,11.8,understory?
Melastomataceae,Miconia,punctata,7.5975,14,understory?
Arecaceae,Geonoma,maxima,6.58,NA,understory?
Moraceae,Helicostylis,scabra,9.28999999999999,14,understory?
Annonaceae,Annona,foetida,9.8225,11.9,understory?
Phyllanthaceae,Amanoa,guianensis,14.96,NA,understory?
Erythroxylaceae,Erythroxylum,macrophyllum,7.2125,11.7,understory?
Sapindaceae,Talisia,cerasina,7.7625,NA,understory?
Siparunaceae,Siparuna,guianensis,10.2425,12.8,understory?
Sapindaceae,Matayba,inelegans,12.9925,13.775,understory?
Burseraceae,Protium,giganteum,11.54,NA,understory?
Chrysobalanaceae,Licania,macrophylla,9.34749999999999,10,understory?
Burseraceae,Protium,ferrugineum,7.4875,11.975,understory?
Quiinaceae,Lacunaria,jenmanii,12.82,14,understory?
Urticaceae,Pourouma,myrmecophila,13.4125,13,understory?
Meliaceae,Trichilia,pleeana,7.96000000000001,11,understory?
Apocynaceae,Tabernaemontana,undulata,7.9125,NA,understory?
Arecaceae,Iriartella,setigera,5.4375,NA,understory?
Burseraceae,Protium,aracouchini,11.8,13.3,understory?
Chrysobalanaceae,Hirtella,physophora,7.27249999999999,NA,understory?
Meliaceae,Guarea,pubescens,7.2575,14,understory?
Myrsinaceae,Cybianthus,guyanensis,6.3,NA,understory?
Araliaceae,Schefflera,morototoni,5.98,NA,understory?
Linaceae,Roucheria,punctata,10.65,NA,understory?
Simaroubaceae,Simaba,cedron,9.7,11.95,understory?
Rubiaceae,Duroia,macrophylla,11.6275,14,understory?
Fabaceae,Derris,negrensis,4.535,NA,understory?
Fabaceae,Inga,thibaudiana,12.72,14.6,understory?
Chrysobalanaceae,Hirtella,duckei,5.4475,NA,understory?
Olacaceae,Dulacia,candida,12.58,0,understory?
Malvaceae,Eriotheca,globosa,11.225,14.725,understory?
Rubiaceae,Cordiera,myrciifolia,9.8675,NA,understory?
Urticaceae,Pourouma,cuspidata,9.125,NA,understory?
Fabaceae,Swartzia,cuspidata,11.86,NA,understory?
Burseraceae,Protium,nitidifolium,7.9575,14.4,understory?
Picramniaceae,Picramnia,juniniana,8,NA,understory?
Rubiaceae,Coussarea,racemosa,12.64,14.3,understory?
Sapotaceae,Chromolucuma,rubriflora,9.6175,13,understory?
Rubiaceae,Duroia,saccifera,11.65,13,understory?
Fabaceae,Machaerium,macrophyllum,4.9,NA,understory?
Rubiaceae,Ixora,intensa,4.95,NA,understory?
Fabaceae,Swartzia,manausensis,13.2,12.85,understory?
Meliaceae,Trichilia,schomburgkii,9.20499999999999,13.975,understory?
Meliaceae,Trichilia,areolata,9.11,13,understory?
Annonaceae,Guatteriopsis,friesiana,6.58,NA,understory?
Sapindaceae,Vouarana,guianensis,9.29,15,understory?
Monimiaceae,Mollinedia,ovata,5.365,NA,understory?
Simaroubaceae,Simaba,polyphylla,9.805,14,understory?
Rubiaceae,Kutchubaea,insignis,7.0475,NA,understory?
Sapindaceae,Allophylus,latifolius,10.51,10,understory?
Arecaceae,Bactris,tomentosa,3.735,NA,understory?
Hypericaceae,Vismia,cauliflora,6.16,NA,understory?
Lauraceae,Ocotea,cujumary,12.0125,NA,understory?
Melastomataceae,Miconia,dispar,9.205,13.45,understory?
Rhizophoraceae,Cassipourea,guianensis,13.105,NA,understory?
Meliaceae,Trichilia,micropetala,9.2125,13,understory?
Annonaceae,Guatteria,poeppigiana,8.8875,NA,understory?
Arecaceae,Oenocarpus,minor,8.66,NA,understory?
Fabaceae,Machaerium,quinata,4.2625,NA,understory?
Fabaceae,Zygia,ramiflora,8.85,14.075,understory?
Moraceae,Naucleopsis,stipularis,6.82,NA,understory?
Humiriaceae,Sacoglottis,ceratocarpa,9.43999999999999,NA,understory?
Elaeocarpaceae,Sloanea,guianensis,6.09,14.575,understory?
Myrtaceae,Eugenia,illepida,5.35,NA,understory?
Salicaceae,Casearia,negrensis,8.125,10.9,understory?
Annonaceae,Ephedranthus,amazonicus,12.99,13.05,understory?
Sapotaceae,Pouteria,coriacea,8.0775,11,understory?
Malpighiaceae,Byrsonima,crispa,13.25,15,understory?
Quiinaceae,Touroulia,guianensis,15.325,15,understory?
Sapindaceae,Cupania,scrobiculata,8.325,NA,understory?
Fabaceae,Andira,trifoliolata,7.575,12.675,understory?
Rubiaceae,Palicourea,amapaensis,8.485,NA,understory?
Arecaceae,Syagrus,inajai,9,NA,understory?
Rhizophoraceae,Sterigmapetalum,obovatum,10.1675,15,understory?
Annonaceae,Pseudoxandra,obscurinervis,5.53,13,understory?
Anacardiaceae,Thyrsodium,spruceanum,14.2175,12.8,understory?
Ebenaceae,Diospyros,bullata,8.555,NA,understory?
Violaceae,Paypayrola,grandiflora,10.93,15.375,understory?
Burseraceae,Protium,grandifolium,7.3275,12,understory?
Rutaceae,Zanthoxylum,huberi,11.56,13,understory?
Myrsinaceae,Cybianthus,longifolius,8.525,NA,understory?
Malvaceae,Quararibea,ochrocalyx,11.9,NA,understory?
Sapindaceae,Matayba,peruviana,8.58,NA,understory?
Sapindaceae,Talisia,praealta,5.19,NA,understory?
Sapindaceae,Matayba,purgans,6.225,13,understory?
Annonaceae,Guatteriopsis,blepharophylla,6.64,NA,understory?
Lecythidaceae,Eschweilera,bracteosa,9.8625,15.425,understory?
Ebenaceae,Diospyros,cavalcantei,9.825,NA,understory?
Rubiaceae,Palicourea,corymbifera,4.17,NA,understory?
Myrtaceae,Calyptranthes,cuspidata,9.8975,13.7,understory?
Sapindaceae,Talisia,eximia,7.38,NA,understory?
Myrtaceae,Myrcia,huallagae,9.89,NA,understory?
Fabaceae,Parkia,igneiflora,11.875,12,understory?
Sapindaceae,Talisia,japurensis,7.0075,NA,understory?
Capparaceae,Neocalyptrocalyx,leprieurii,4.285,NA,understory?
Chrysobalanaceae,Hirtella,caudata,5.585,NA,understory?
Urticaceae,Pourouma,cordata,7.39,NA,understory?
Myrtaceae,Myrcia,magnoliifolia,14.42,15,understory?
Arecaceae,Bactris,maraja,4.825,NA,understory?
Meliaceae,Trichilia,micrantha,7.5825,13.55,understory?
Sapotaceae,Pouteria,petiolata,8.585,13.95,understory?
Boraginaceae,Cordia,sagotii,8.805,14,understory?
Sapotaceae,Pouteria,decorticans,9.72,15.3,understory?
Sapindaceae,Matayba,guianensis,9.35,NA,understory?
Meliaceae,Guarea,humaitensis,13.18,15,understory?
Salicaceae,Casearia,pitumba,10.2,11,understory?
Burseraceae,Crepidospermum,rhoifolium,6.78,13,understory?
Hypericaceae,Vismia,sandwithii,6.45,NA,understory?
Malvaceae,Theobroma,subincanum,10.1525,14.475,understory?
Fabaceae,Swartzia,brachyrachis,11.025,12,understory?
Myrtaceae,Myrcia,bracteata,7.385,11.925,understory?
Quiinaceae,Lacunaria,crenata,8.275,13.925,understory?
Sapindaceae,Matayba,elegans,5.2175,11,understory?
Violaceae,Rinorea,paniculata,4.91,NA,understory?
Myrtaceae,Eugenia,protenta,4.7925,NA,understory?
Urticaceae,Cecropia,purpurascens,9.835,14.4,understory?
Chrysobalanaceae,Licania,reticulata,7.6375,12,understory?
Nyctaginaceae,Pisonia,tomentosa,13.96,14,understory?
Lamiaceae,Vitex,triflora,11.9,13,understory?
Melastomataceae,Henriettea,caudata,4.295,NA,understory?
Fabaceae,Swartzia,corrugata,10.2375,14.3,understory?
Olacaceae,Heisteria,densifrons,7.06,NA,understory?
Arecaceae,Bactris,elegans,4.37,NA,understory?
Rutaceae,Adiscanthus,fusciflorus,4.18,NA,understory?
Melastomataceae,Miconia,holosericea,7.48,10,understory?
